_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
322,278/20,Online Form,2020-09-02 00:00:00,No Response,2020-10-15 00:00:00,משרד ההתיישבות,2020-11-05 14:35:20,Justified,21.0,Treatment Completed,Unspecified,Unspecified,2020,10,43,1
323,281/20,Online Form,2020-09-17 00:00:00,No Response,2020-10-18 00:00:00,הנהלת בתי הדין הרבניים,2020-12-03 10:28:15,Justified,46.0,Treatment Completed,Unspecified,Unspecified,2020,10,31,1
324,280/20,Online Form,2020-10-04 00:00:00,Lack of Justification,2020-10-18 00:00:00,הנהלת בתי המשפט,2020-10-27 13:14:45,Treatment Discontinued,9.0,Treatment Completed,Unspecified,Unspecified,2020,10,14,0
325,283/20,Online Form,2020-04-27 00:00:00,No Response,2020-10-21 00:00:00,משרד המשפטים,2020-11-10 12:56:50,Justified,20.0,Treatment Completed,Unspecified,Unspecified,2020,10,177,1
326,284/20,Online Form,2020-07-06 00:00:00,Lack of Justification,2020-10-21 00:00:00,בית חולים איכילוב,2021-04-28 12:46:45,Justified,189.0,Treatment Completed,Unspecified,Unspecified,2020,10,107,1
327,285/20,Online Form,2020-09-23 00:00:00,No Response,2020-10-23 00:00:00,משטרת ישראל,2020-10-27 13:46:11,Unjustified,4.0,Treatment Completed,Unspecified,Unspecified,2020,10,30,0
328,288/20,Online Form,2020-05-31 00:00:00,No Response,2020-10-25 00:00:00,משטרת ישראל,2020-12-02 10:15:46,Justified,38.0,Treatment Completed,Unspecified,Unspecified,2020,10,147,1
329,292/20,Online Form,2020-09-16 00:00:00,No Response,2020-10-26 00:00:00,משרד התחבורה והבטיחות בדרכים,2021-01-05 13:43:44,Unjustified,71.0,Treatment Completed,Unspecified,Unspecified,2020,10,40,0
330,295/20,Online Form,2020-08-24 00:00:00,No Response,2020-10-27 00:00:00,משרד החינוך,2020-11-25 12:06:12,Justified,29.0,Treatment Completed,Unspecified,Unspecified,2020,10,64,1
331,297/20,Online Form,2020-06-21 00:00:00,No Response,2020-10-27 00:00:00,משרד החינוך,2020-12-23 15:34:48,Justified,57.0,Treatment Completed,Unspecified,Unspecified,2020,10,128,1
332,298/20,Online Form,2020-08-24 00:00:00,No Response,2020-10-28 00:00:00,צבא הגנה לישראל,2021-04-22 14:30:32,Justified,176.0,Treatment Completed,Unspecified,Unspecified,2020,10,65,1
333,299/20,Online Form,2020-08-24 00:00:00,No Response,2020-10-28 00:00:00,רשות מקרקעי ישראל,2020-10-29 12:41:57,Treatment Discontinued,1.0,Treatment Completed,Unspecified,Unspecified,2020,10,65,0
334,304/20,Online Form,2020-08-19 00:00:00,No Response,2020-11-02 00:00:00,משרד הבריאות,2020-11-10 08:32:37,Justified,8.0,Treatment Completed,Unspecified,Unspecified,2020,11,75,1
335,307/20,Online Form,2020-08-04 00:00:00,No Response,2020-11-02 00:00:00,משרד התרבות והספורט,2020-11-11 10:41:07,Justified,9.0,Treatment Completed,Unspecified,Unspecified,2020,11,90,1
336,306/20,Online Form,2020-08-13 00:00:00,No Response,2020-11-02 00:00:00,מתאם פעולות הממשלה בשטחים (מתפש),2020-11-11 13:40:56,Justified,9.0,Treatment Completed,Unspecified,Unspecified,2020,11,81,1
337,305/20,Online Form,2020-09-21 00:00:00,No Response,2020-11-02 00:00:00,מתאם פעולות הממשלה בשטחים (מתפש),2020-11-11 13:47:27,Justified,9.0,Treatment Completed,Unspecified,Unspecified,2020,11,42,1
338,303/20,Online Form,2020-07-19 00:00:00,Fees,2020-11-02 00:00:00,משרד המשפטים,2020-11-11 10:19:41,Unjustified,9.0,Treatment Completed,Unspecified,Unspecified,2020,11,106,0
339,309/20,Online Form,2020-10-04 00:00:00,No Response,2020-11-03 00:00:00,משטרת ישראל,2021-04-07 15:02:44,Unjustified,155.0,Treatment Completed,Unspecified,Unspecified,2020,11,30,0
340,313/20,Online Form,2020-04-01 00:00:00,No Response,2020-11-08 00:00:00,משרד התפוצות,2021-04-08 09:18:54,Justified,151.0,Treatment Completed,Unspecified,Unspecified,2020,11,221,1
341,316/20,Online Form,2020-05-24 00:00:00,No Response,2020-11-09 00:00:00,משרד הרווחה והשירותים החברתיים,2021-04-07 15:34:05,Justified,149.0,Treatment Completed,Unspecified,Unspecified,2020,11,169,1
342,317/20,Online Form,2020-09-10 00:00:00,No Response,2020-11-09 00:00:00,משרד הכלכלה,2020-11-10 08:21:19,Unjustified,1.0,Treatment Completed,Unspecified,Unspecified,2020,11,60,0
343,318/20,Online Form,2020-09-09 00:00:00,No Response,2020-11-09 00:00:00,הרבנות הראשית לישראל,2020-12-23 10:29:04,Unjustified,44.0,Treatment Completed,Unspecified,Unspecified,2020,11,61,0
344,333/20,Online Form,2020-10-12 00:00:00,No Response,2020-11-12 00:00:00,משרד הבריאות,2021-05-20 12:19:13,Justified,189.0,Treatment Completed,Unspecified,Unspecified,2020,11,31,1
345,334/20,Online Form,2020-10-04 00:00:00,No Response,2020-11-12 00:00:00,רשות שוק ההון הביטוח והחיסכון,2020-12-02 09:44:51,Justified,20.0,Treatment Completed,Unspecified,Unspecified,2020,11,39,1
346,332/20,Online Form,2020-10-05 00:00:00,No Response,2020-11-12 00:00:00,משרד הרווחה והשירותים החברתיים,2020-12-23 15:14:23,Justified,41.0,Treatment Completed,Unspecified,Unspecified,2020,11,38,1
347,335/20,Online Form,2020-08-04 00:00:00,No Response,2020-11-13 00:00:00,משרד החינוך,2021-01-05 13:55:56,Justified,53.0,Treatment Completed,Unspecified,Unspecified,2020,11,101,1
348,338/20,Online Form,2020-01-01 00:00:00,Lack of Justification,2020-11-15 00:00:00,משרד החוץ,2020-12-28 10:53:36,Treatment Discontinued,43.0,Treatment Completed,Unspecified,Unspecified,2020,11,319,0
349,339/20,Online Form,2020-09-24 00:00:00,Lack of Justification,2020-11-15 00:00:00,הרבנות הראשית לישראל,2021-01-05 14:04:03,Unjustified,51.0,Treatment Completed,Unspecified,Unspecified,2020,11,52,0
350,343/20,Online Form,2020-03-29 00:00:00,No Response,2020-11-16 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2021-07-14 12:36:41,Justified,240.0,Treatment Completed,Unspecified,Unspecified,2020,11,232,1
351,340/20,Online Form,2020-08-04 00:00:00,No Response,2020-11-16 00:00:00,צבא הגנה לישראל,2021-01-06 12:03:15,Justified,51.0,Treatment Completed,Unspecified,Unspecified,2020,11,104,1
352,352/20,Online Form,2020-09-30 00:00:00,No Response,2020-11-17 00:00:00,משרד הבריאות,2020-12-23 13:39:34,Justified,36.0,Treatment Completed,Unspecified,Unspecified,2020,11,48,1
353,347/20,Online Form,2020-04-26 00:00:00,No Response,2020-11-17 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2021-07-14 12:08:26,Unjustified,239.0,Treatment Completed,Unspecified,Unspecified,2020,11,205,0
354,373/20,Online Form,2020-07-23 00:00:00,No Response,2020-11-22 00:00:00,משרד החינוך,2021-01-05 14:19:35,Justified,44.0,Treatment Completed,Unspecified,Unspecified,2020,11,122,1
355,375/20,Online Form,2020-08-12 00:00:00,Lack of Justification,2020-11-22 00:00:00,הנהלת בתי הדין הרבניים,2021-06-02 13:20:01,Treatment Discontinued,192.0,Treatment Completed,Unspecified,Unspecified,2020,11,102,0
356,383/20,Online Form,2020-09-30 00:00:00,No Response,2020-11-25 00:00:00,רשות שוק ההון הביטוח והחיסכון,2021-04-07 12:52:28,Unjustified,133.0,Treatment Completed,Unspecified,Unspecified,2020,11,56,0
357,384/20,Online Form,2020-10-20 00:00:00,No Response,2020-11-25 00:00:00,משרד המשפטים,2021-01-05 14:26:13,Unjustified,41.0,Treatment Completed,Unspecified,Unspecified,2020,11,36,0
358,388/20,Online Form,2020-11-04 00:00:00,No Response,2020-11-26 00:00:00,רשות המסים בישראל,2020-12-03 10:45:18,Unjustified,7.0,Treatment Completed,Unspecified,Unspecified,2020,11,22,0
359,390/20,Online Form,2020-09-08 00:00:00,No Response,2020-11-30 00:00:00,משרד הבריאות,2020-12-28 11:25:56,Justified,28.0,Treatment Completed,Unspecified,Unspecified,2020,11,83,1
360,397/20,Online Form,2020-08-25 00:00:00,No Response,2020-12-01 00:00:00,נציבות שירות המדינה,2021-04-08 09:28:42,Justified,128.0,Treatment Completed,Unspecified,Unspecified,2020,12,98,1
361,395/20,Online Form,2020-09-07 00:00:00,No Response,2020-12-01 00:00:00,צבא הגנה לישראל,2021-06-02 12:21:45,Justified,183.0,Treatment Completed,Unspecified,Unspecified,2020,12,85,1
362,396/20,Online Form,2020-10-11 00:00:00,No Response,2020-12-01 00:00:00,נציבות שירות המדינה,2021-06-03 10:44:15,Justified,184.0,Treatment Completed,Unspecified,Unspecified,2020,12,51,1
363,399/20,Online Form,2020-09-12 00:00:00,No Response,2020-12-02 00:00:00,משרד הפנים,2021-04-08 10:31:02,Partially Justified,127.0,Treatment Completed,Unspecified,Unspecified,2020,12,81,0
364,400/20,Online Form,2020-11-10 00:00:00,No Response,2020-12-02 00:00:00,משרד התחבורה והבטיחות בדרכים,2020-12-03 11:39:37,Unjustified,1.0,Treatment Completed,Unspecified,Unspecified,2020,12,22,0
365,401/20,Online Form,2020-09-24 00:00:00,No Response,2020-12-02 00:00:00,הנהלת בתי הדין הרבניים,2020-12-23 14:21:59,Unjustified,21.0,Treatment Completed,Unspecified,Unspecified,2020,12,69,0
366,402/20,Online Form,2020-07-29 00:00:00,No Response,2020-12-03 00:00:00,המשרד להגנת הסביבה,2021-01-05 14:35:48,Justified,33.0,Treatment Completed,Unspecified,Unspecified,2020,12,127,1
367,406/20,Online Form,2020-08-05 00:00:00,No Response,2020-12-06 00:00:00,משרד התחבורה והבטיחות בדרכים,2021-04-28 14:21:33,Justified,143.0,Treatment Completed,Unspecified,Unspecified,2020,12,123,1
368,409/20,Online Form,2020-10-12 00:00:00,No Response,2020-12-07 00:00:00,משרד ראש הממשלה,2021-04-08 11:09:37,Justified,122.0,Treatment Completed,Unspecified,Unspecified,2020,12,56,1
369,411/20,Online Form,2020-08-24 00:00:00,No Response,2020-12-07 00:00:00,נציבות שירות המדינה,2021-06-03 11:05:12,Justified,178.0,Treatment Completed,Unspecified,Unspecified,2020,12,105,1
370,416/20,Online Form,2020-11-03 00:00:00,No Response,2020-12-09 00:00:00,משרד ראש הממשלה,2021-04-22 09:26:02,Partially Justified,134.0,Treatment Completed,Unspecified,Unspecified,2020,12,36,0
371,417/20,Online Form,2020-09-26 00:00:00,No Response,2020-12-09 00:00:00,המשרד לביטחון הפנים,2021-04-07 12:27:01,Justified,119.0,Treatment Completed,Unspecified,Unspecified,2020,12,74,1
372,415/20,Online Form,2020-10-12 00:00:00,No Response,2020-12-09 00:00:00,משרד הבריאות,2021-01-06 11:35:00,Justified,28.0,Treatment Completed,Unspecified,Unspecified,2020,12,58,1
373,419/20,Online Form,2020-11-09 00:00:00,No Response,2020-12-10 00:00:00,נציבות שירות המדינה,2021-06-03 11:11:43,Justified,175.0,Treatment Completed,Unspecified,Unspecified,2020,12,31,1
374,422/20,Online Form,2020-10-07 00:00:00,No Response,2020-12-12 00:00:00,משרד הבריאות,2021-04-12 11:17:08,Justified,121.0,Treatment Completed,Unspecified,Unspecified,2020,12,66,1
375,424/20,Online Form,2020-10-06 00:00:00,No Response,2020-12-13 00:00:00,נציבות שירות המדינה,2021-04-14 11:24:26,Justified,122.0,Treatment Completed,Unspecified,Unspecified,2020,12,68,1
376,423/20,Online Form,2020-10-06 00:00:00,No Response,2020-12-13 00:00:00,נציבות שירות המדינה,2021-06-03 11:50:07,Justified,172.0,Treatment Completed,Unspecified,Unspecified,2020,12,68,1
377,429/20,Online Form,2020-11-26 00:00:00,No Response,2020-12-15 00:00:00,שירות בתי הסוהר,2021-04-08 13:10:10,Treatment Discontinued,114.0,Treatment Completed,Unspecified,Unspecified,2020,12,19,0
378,428/20,Online Form,2020-11-10 00:00:00,No Response,2020-12-15 00:00:00,רשות האכיפה והגבייה,2021-01-06 11:51:35,Unjustified,22.0,Treatment Completed,Unspecified,Unspecified,2020,12,35,0
379,432/20,Online Form,2020-09-24 00:00:00,No Response,2020-12-16 00:00:00,משרד החקלאות ופיתוח הכפר,2021-04-22 09:36:00,Justified,127.0,Treatment Completed,Unspecified,Unspecified,2020,12,83,1
380,435/20,Online Form,2020-04-12 00:00:00,No Response,2020-12-20 00:00:00,נציבות שירות המדינה,2021-06-03 12:31:22,Justified,165.0,Treatment Completed,Unspecified,Unspecified,2020,12,252,1
381,443/20,Online Form,2020-07-21 00:00:00,No Response,2020-12-27 00:00:00,צבא הגנה לישראל,2021-04-22 09:46:57,Justified,116.0,Treatment Completed,Unspecified,Unspecified,2020,12,159,1
382,446/20,Online Form,2020-07-19 00:00:00,No Response,2020-12-28 00:00:00,משרד המשפטים,2021-04-14 11:45:58,Justified,107.0,Treatment Completed,Unspecified,Unspecified,2020,12,162,1
383,447/20,Online Form,2020-08-20 00:00:00,No Response,2020-12-28 00:00:00,המשרד להגנת הסביבה,2021-05-11 15:33:39,Justified,134.0,Treatment Completed,Unspecified,Unspecified,2020,12,130,1
384,444/20,Online Form,2020-10-26 00:00:00,No Response,2020-12-28 00:00:00,נציבות שירות המדינה,2021-06-03 13:42:51,Justified,157.0,Treatment Completed,Unspecified,Unspecified,2020,12,63,1
385,7/21,Online Form,2020-11-30 00:00:00,No Response,2021-01-04 00:00:00,רשות מקרקעי ישראל,2021-04-18 10:00:45,Partially Justified,104.0,Treatment Completed,Unspecified,Unspecified,2021,1,35,0
386,4/21,Online Form,2020-08-13 00:00:00,No Response,2021-01-04 00:00:00,המשרד להגנת הסביבה,2021-06-06 12:24:09,Partially Justified,153.0,Treatment Completed,Unspecified,Unspecified,2021,1,144,0
387,5/21,Online Form,2020-01-15 00:00:00,No Response,2021-01-04 00:00:00,המשרד להגנת הסביבה,2021-04-14 12:59:25,Justified,100.0,Treatment Completed,Unspecified,Unspecified,2021,1,355,1
388,6/21,Online Form,2020-01-28 00:00:00,No Response,2021-01-04 00:00:00,המשרד להגנת הסביבה,2021-04-14 14:47:25,Justified,100.0,Treatment Completed,Unspecified,Unspecified,2021,1,342,1
389,9/21,Online Form,2020-11-30 00:00:00,No Response,2021-01-05 00:00:00,משרד האוצר,2021-06-03 13:52:38,Justified,149.0,Treatment Completed,Unspecified,Unspecified,2021,1,36,1
390,11/21,Online Form,2020-12-06 00:00:00,No Response,2021-01-07 00:00:00,מתאם פעולות הממשלה בשטחים (מתפש),2021-04-18 10:17:12,Unjustified,101.0,Treatment Completed,Unspecified,Unspecified,2021,1,32,0
391,12/21,Online Form,2020-12-06 00:00:00,No Response,2021-01-07 00:00:00,מתאם פעולות הממשלה בשטחים (מתפש),2021-04-18 10:26:38,Unjustified,101.0,Treatment Completed,Unspecified,Unspecified,2021,1,32,0
392,13/21,Online Form,2020-10-22 00:00:00,No Response,2021-01-10 00:00:00,משרד החינוך,2021-04-08 11:46:04,Justified,88.0,Treatment Completed,Unspecified,Unspecified,2021,1,80,1
393,16/21,Online Form,2020-12-14 00:00:00,No Response,2021-01-12 00:00:00,משרד התחבורה והבטיחות בדרכים,2021-04-08 12:31:42,Unjustified,86.0,Treatment Completed,Unspecified,Unspecified,2021,1,29,0
394,17/21,Online Form,2020-08-16 00:00:00,No Response,2021-01-14 00:00:00,משרד ראש הממשלה,2021-04-11 10:17:32,Justified,87.0,Treatment Completed,Unspecified,Unspecified,2021,1,151,1
395,18/21,Online Form,2020-11-11 00:00:00,No Response,2021-01-15 00:00:00,משרד המשפטים,2021-04-18 11:14:17,Unjustified,93.0,Treatment Completed,Unspecified,Unspecified,2021,1,65,0
396,20/21,Online Form,2020-12-01 00:00:00,No Response,2021-01-17 00:00:00,משרד ראש הממשלה,2021-04-11 10:36:35,Justified,84.0,Treatment Completed,Unspecified,Unspecified,2021,1,47,1
397,23/21,Online Form,2020-12-17 00:00:00,No Response,2021-01-18 00:00:00,משרד ראש הממשלה,2021-04-11 11:07:02,Unjustified,83.0,Treatment Completed,Unspecified,Unspecified,2021,1,32,0
398,29/21,Online Form,2020-11-16 00:00:00,No Response,2021-01-19 00:00:00,צבא הגנה לישראל,2021-04-18 10:30:59,Justified,89.0,Treatment Completed,Unspecified,Unspecified,2021,1,64,1
399,31/21,Online Form,2020-11-18 00:00:00,No Response,2021-01-20 00:00:00,משרד הבריאות,2021-04-12 11:25:01,Justified,82.0,Treatment Completed,Unspecified,Unspecified,2021,1,63,1
400,34/21,Online Form,2020-12-17 00:00:00,No Response,2021-01-21 00:00:00,רשות האוכלוסין וההגירה,2021-04-11 11:46:25,Unjustified,80.0,Treatment Completed,Unspecified,Unspecified,2021,1,35,0
401,35/21,Online Form,2020-10-27 00:00:00,No Response,2021-01-21 00:00:00,משרד הרווחה והשירותים החברתיים,2021-04-11 12:36:29,Unjustified,80.0,Treatment Completed,Unspecified,Unspecified,2021,1,86,0
402,36/21,Online Form,2020-12-17 00:00:00,No Response,2021-01-22 00:00:00,רשות האוכלוסין וההגירה,2021-06-02 11:04:13,Unjustified,131.0,Treatment Completed,Unspecified,Unspecified,2021,1,36,0
403,41/21,Online Form,2020-11-18 00:00:00,No Response,2021-01-26 00:00:00,משרד האוצר,2021-04-18 10:50:09,Justified,82.0,Treatment Completed,Unspecified,Unspecified,2021,1,69,1
404,44/21,Online Form,2021-01-18 00:00:00,Lack of Justification,2021-01-27 00:00:00,משרד התקשורת,2021-04-21 11:34:03,Unjustified,84.0,Treatment Completed,Unspecified,Unspecified,2021,1,9,0
405,48/21,Online Form,2020-12-20 00:00:00,No Response,2021-01-31 00:00:00,משרד ראש הממשלה,2021-06-03 12:38:52,Justified,123.0,Treatment Completed,Unspecified,Unspecified,2021,1,42,1
406,57/21,Online Form,2021-01-05 00:00:00,No Response,2021-02-08 00:00:00,משרד החינוך,2021-04-11 13:06:32,Justified,62.0,Treatment Completed,Unspecified,Unspecified,2021,2,34,1
407,59/21,Online Form,2020-12-14 00:00:00,No Response,2021-02-09 00:00:00,רשות מקרקעי ישראל,2021-04-18 11:34:23,Partially Justified,68.0,Treatment Completed,Unspecified,Unspecified,2021,2,57,0
408,60/21,Online Form,2020-08-26 00:00:00,No Response,2021-02-09 00:00:00,צבא הגנה לישראל,2021-07-14 10:59:02,Justified,155.0,Treatment Completed,Unspecified,Unspecified,2021,2,167,1
409,66/21,Online Form,2020-12-26 00:00:00,No Response,2021-02-15 00:00:00,משרד החינוך,2021-03-14 15:36:48,Treatment Discontinued,27.0,Treatment Completed,Unspecified,Unspecified,2021,2,51,0
410,75/21,Online Form,2021-01-14 00:00:00,No Response,2021-02-18 00:00:00,משרד החינוך,2021-04-11 13:41:50,Justified,52.0,Treatment Completed,Unspecified,Unspecified,2021,2,35,1
411,77/21,Online Form,2021-01-20 00:00:00,No Response,2021-02-21 00:00:00,צבא הגנה לישראל,2021-06-02 14:53:06,Unjustified,101.0,Treatment Completed,Unspecified,Unspecified,2021,2,32,0
412,81/21,Online Form,2020-12-08 00:00:00,No Response,2021-02-22 00:00:00,משרד ראש הממשלה,2021-04-12 10:09:29,Justified,49.0,Treatment Completed,Unspecified,Unspecified,2021,2,76,1
413,82/21,Online Form,2020-11-25 00:00:00,No Response,2021-02-22 00:00:00,משרד הבריאות,2021-04-12 11:55:23,Justified,49.0,Treatment Completed,Unspecified,Unspecified,2021,2,89,1
414,85/21,Online Form,2020-12-23 00:00:00,No Response,2021-02-23 00:00:00,הרבנות הראשית לישראל,2021-07-14 11:12:53,Justified,141.0,Treatment Completed,Unspecified,Unspecified,2021,2,62,1
415,87/21,Online Form,2021-01-21 00:00:00,No Response,2021-02-23 00:00:00,משרד התקשורת,2021-04-11 14:41:29,Unjustified,47.0,Treatment Completed,Unspecified,Unspecified,2021,2,33,0
416,90/21,Online Form,2017-04-06 00:00:00,No Response,2021-03-01 00:00:00,משרד הביטחון,2021-07-14 12:38:55,Justified,135.0,Treatment Completed,Unspecified,Unspecified,2021,3,1425,1
417,95/21,Online Form,2020-10-08 00:00:00,No Response,2021-03-02 00:00:00,משרד החקלאות ופיתוח הכפר,2021-04-11 16:14:51,Justified,40.0,Treatment Completed,Unspecified,Unspecified,2021,3,145,1
418,97/21,Online Form,2021-01-04 00:00:00,No Response,2021-03-04 00:00:00,משרד הפנים,2021-04-12 09:58:45,Unjustified,39.0,Treatment Completed,Unspecified,Unspecified,2021,3,59,0
419,98/21,Online Form,2021-01-25 00:00:00,No Response,2021-03-05 00:00:00,משרד החינוך,2021-06-02 14:26:58,Justified,89.0,Treatment Completed,Unspecified,Unspecified,2021,3,39,1
420,100/21,Online Form,2021-02-02 00:00:00,No Response,2021-03-07 00:00:00,משרד התקשורת,2021-04-07 11:40:26,Unjustified,31.0,Treatment Completed,Unspecified,Unspecified,2021,3,33,0
421,102/21,Online Form,2021-02-03 00:00:00,No Response,2021-03-08 00:00:00,משרד הבריאות,2021-04-14 15:21:06,Unjustified,37.0,Treatment Completed,Unspecified,Unspecified,2021,3,33,0
422,105/21,Online Form,2020-12-24 00:00:00,No Response,2021-03-09 00:00:00,משרד החינוך,2021-04-07 12:10:01,Justified,29.0,Treatment Completed,Unspecified,Unspecified,2021,3,75,1
423,107/21,Online Form,2021-02-17 00:00:00,Fees,2021-03-09 00:00:00,משרד התיירות,2021-04-25 11:48:19,Unjustified,47.0,Treatment Completed,Unspecified,Unspecified,2021,3,20,0
424,108/21,Online Form,2021-01-14 00:00:00,No Response,2021-03-10 00:00:00,הרשות הארצית לכבאות והצלה,2021-06-02 13:53:21,Justified,84.0,Treatment Completed,Unspecified,Unspecified,2021,3,55,1
425,109/21,Online Form,2020-12-16 00:00:00,No Response,2021-03-12 00:00:00,רשות מקרקעי ישראל,2021-07-14 11:46:45,Justified,124.0,Treatment Completed,Unspecified,Unspecified,2021,3,86,1
426,111/21,Online Form,2021-03-09 00:00:00,No Response,2021-03-15 00:00:00,רשות מקרקעי ישראל,2021-06-07 09:57:40,Unjustified,84.0,Treatment Completed,Unspecified,Unspecified,2021,3,6,0
427,118/21,Online Form,2021-02-17 00:00:00,No Response,2021-03-21 00:00:00,משרד החינוך,2021-06-03 10:52:26,Justified,74.0,Treatment Completed,Unspecified,Unspecified,2021,3,32,1
428,121/21,Online Form,2021-01-15 00:00:00,No Response,2021-03-22 00:00:00,משרד הבינוי והשיכון,2021-05-12 12:25:47,Partially Justified,51.0,Treatment Completed,Unspecified,Unspecified,2021,3,66,0
429,122/21,Online Form,2021-02-16 00:00:00,No Response,2021-03-22 00:00:00,משרד החינוך,2021-04-22 10:27:09,Justified,31.0,Treatment Completed,Unspecified,Unspecified,2021,3,34,1
430,124/21,Online Form,2020-10-29 00:00:00,No Response,2021-03-22 00:00:00,משרד הבריאות,2021-04-12 12:42:44,Unjustified,21.0,Treatment Completed,Unspecified,Unspecified,2021,3,144,0
431,127/21,Online Form,2021-01-16 00:00:00,No Response,2021-03-25 00:00:00,משרד הבריאות,2021-04-21 14:57:10,Unjustified,27.0,Treatment Completed,Unspecified,Unspecified,2021,3,68,0
432,132/21,Online Form,2021-02-21 00:00:00,No Response,2021-04-04 00:00:00,רשות מקרקעי ישראל,2021-06-03 13:09:22,Partially Justified,60.0,Treatment Completed,Unspecified,Unspecified,2021,4,42,0
433,133/21,Online Form,2021-03-03 00:00:00,No Response,2021-04-04 00:00:00,רשות האוכלוסין וההגירה,2021-06-24 12:49:08,Justified,81.0,Treatment Completed,Unspecified,Unspecified,2021,4,32,1
434,137/21,Online Form,2021-03-04 00:00:00,No Response,2021-04-04 00:00:00,רשות שוק ההון הביטוח והחיסכון,2021-04-18 12:51:58,Unjustified,14.0,Treatment Completed,Unspecified,Unspecified,2021,4,31,0
435,144/21,Online Form,2020-09-14 00:00:00,No Response,2021-04-05 00:00:00,המשרד להגנת הסביבה,2021-06-03 13:57:34,Justified,59.0,Treatment Completed,Unspecified,Unspecified,2021,4,203,1
436,142/21,Online Form,2020-11-04 00:00:00,No Response,2021-04-05 00:00:00,המשרד להגנת הסביבה,2021-06-27 11:25:56,Treatment Discontinued,83.0,Treatment Completed,Unspecified,Unspecified,2021,4,152,0
437,146/21,Online Form,2021-02-15 00:00:00,No Response,2021-04-05 00:00:00,רשות מקרקעי ישראל,2021-07-14 12:12:00,Unjustified,100.0,Treatment Completed,Unspecified,Unspecified,2021,4,49,0
438,166/21,Online Form,2021-02-14 00:00:00,Lack of Justification,2021-04-11 00:00:00,רשות מקרקעי ישראל,2021-04-18 13:25:13,Treatment Discontinued,7.0,Treatment Completed,Unspecified,Unspecified,2021,4,56,0
439,168/21,Online Form,2021-03-10 00:00:00,No Response,2021-04-12 00:00:00,נציבות שירות המדינה,2021-04-22 14:47:49,Unjustified,10.0,Treatment Completed,Unspecified,Unspecified,2021,4,33,0
440,170/21,Online Form,2021-03-09 00:00:00,No Response,2021-04-14 00:00:00,משרד התחבורה והבטיחות בדרכים,2021-07-14 10:55:47,Justified,91.0,Treatment Completed,Unspecified,Unspecified,2021,4,36,1
441,173/21,Online Form,2021-02-23 00:00:00,No Response,2021-04-16 00:00:00,משרד הבריאות,2021-06-02 11:53:25,Unjustified,47.0,Treatment Completed,Unspecified,Unspecified,2021,4,52,0
442,179/21,Online Form,2019-01-10 00:00:00,No Response,2021-04-22 00:00:00,משרד החקלאות ופיתוח הכפר,2021-06-03 12:45:31,Justified,42.0,Treatment Completed,Unspecified,Unspecified,2021,4,833,1
443,186/21,Online Form,2021-03-22 00:00:00,No Response,2021-04-25 00:00:00,משרד החינוך,2021-06-02 12:13:49,Unjustified,38.0,Treatment Completed,Unspecified,Unspecified,2021,4,34,0
444,185/21,Online Form,2021-03-22 00:00:00,No Response,2021-04-25 00:00:00,משרד החינוך,2021-06-03 12:10:59,Unjustified,39.0,Treatment Completed,Unspecified,Unspecified,2021,4,34,0
445, 240/21,Online Form,2021-01-03 00:00:00,No Response,2021-09-05 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2021-06-20 00:00:00,Justified,42.0,Treatment Completed,אזרח,"דוח מוניטור בנושא יישום דו""ח מבקר שנתי )2010 )61ב""",2021,9,245,1
446, 251/21,Online Form,2020-10-23 00:00:00,No Response,2021-05-14 00:00:00,המרכז הירושלמי לבריאות הנפש,2021-11-17 00:00:00,Justified,187.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,5,203,1
447, 259/21,Online Form,2021-04-20 00:00:00,No Response,2021-05-19 00:00:00,משרד האוצר,2021-08-30 00:00:00,Justified,103.0,Treatment Completed,אזרח,פרמיות סטודנטים,2021,5,29,1
448, 301/21,Online Form,2021-06-06 00:00:00,No Response,2021-08-06 00:00:00,משרד החקלאות ופיתוח הכפר,2021-06-09 00:00:00,Unjustified,1.0,Treatment Completed,אזרח,אי מתן מענה סמוכין 273664 ,2021,8,61,0
449, 328/21,Online Form,2020-02-23 00:00:00,No Response,2021-04-07 00:00:00,משרד החקלאות ופיתוח הכפר,2021-07-21 00:00:00,Partially Justified,17.0,Treatment Completed,אזרח,דישון KCL אורגני לשנה בקרקעות ישראל,2021,4,409,0
450, 329/21,Online Form,2021-02-06 00:00:00,No Response,2021-04-07 00:00:00,הנהלת בתי המשפט,2021-08-30 00:00:00,Unjustified,57.0,Treatment Completed,אזרח,אי המצאת אסמכתאות ללא סיבה מוצדקת בחוק,2021,4,60,0
451, 345/21,Online Form,2021-11-07 00:00:00,No Response,2021-07-13 00:00:00,רשות המים והביוב,2021-07-21 00:00:00,Unjustified,8.0,Treatment Completed,אזרח,אי מתן מענה סמוכין 279542 11.07.21 ,2021,7,0,0
