_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
116, 220/23,2023-03-30 00:00:00,2023-08-06 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",תקופת ההסתגלות השנייה,סיום טיפול,מוצדק,08/02/2024,245
117, 84/22,2022-01-02 00:00:00,2022-02-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,בקשה לקבלת מידע מכח חוק חופש המידע,סיום טיפול,בלתי מוצדק,07/03/2022,6
118, 203/23,2023-06-02 00:00:00,2023-05-24 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,נתוני משאף קנאביס רפואי,סיום טיפול,מוצדק,04/09/2023,103
119, 14/24,2023-02-11 00:00:00,2024-07-01 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד החינוך,מסמכים,סיום טיפול,בלתי מוצדק,10/01/2024,0
120, 612/21,2021-12-15 00:00:00,2021-12-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בתי ספר מצטיינים,סיום טיפול,מוצדק,28/04/2022,134
121, 2/22,2021-09-11 00:00:00,2022-02-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החוץ,בקשה לקבלת מידע לפי חוק חופש המידע,סיום טיפול,בלתי מוצדק,10/03/2022,68
122, 468/23,2023-10-09 00:00:00,2023-10-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,אי מתן מענה סמוכין 388601  10.09.23,סיום טיפול,בלתי מוצדק,14/12/2023,34
123, 566/21,2021-01-08 00:00:00,2021-10-31 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,"התכתובת של משרד התחבורה מול מר דינר וחברת אמבולנס סמי, בנוגע לקבלת אישור להסבת הרכב, לרכב רגיל שאינו אמבולנס",סיום טיפול,מוצדק,30/05/2022,211
124, 564/21,2021-06-16 00:00:00,2021-10-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,האפוטרופוס הכללי והכונס הרשמי,קרן תובענות יצוגיות,סיום טיפול,מוצדק,03/11/2021,7
125, 492/21,2021-02-09 00:00:00,2021-10-18 00:00:00,טופס מקוון,עמותה,אם תרצו,אי מתן מענה,משרד ראש הממשלה,פריסת הפרסום בין כלי התקשורת,סיום טיפול,מוצדק,17/02/2022,122
126, 53/22,2022-01-18 00:00:00,2022-10-02 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,בית חולים איכילוב,מידע בנושאים שונים בנושא קורונה,סיום טיפול,בלתי מוצדק,21/02/2022,11
127, 72/24,2024-04-02 00:00:00,2024-04-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,תוצאות הטיפול בחברת סנקי,סיום טיפול,מוצדק,02/05/2024,59
128, 415/22,2022-05-09 00:00:00,2022-10-24 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",קוד מוסד לישיבות,סיום טיפול,מוצדק,03/05/2023,191
129, 139/23,2023-02-02 00:00:00,2023-03-04 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""",רכישת זכויות בגין שנים קודמות בשירות קבע,סיום טיפול,מוצדק,10/07/2023,98
130, 142/22,2022-02-27 00:00:00,2022-03-31 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד לביטחון לאומי,מתן נימוקים אודות החמרה בקריטריונים לחידוש רישיון,סיום טיפול,מוצדק חלקית,28/04/2022,28
131, 293/23,2023-04-14 00:00:00,2023-07-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,"מענה מהמנכל""",סיום טיפול,בלתי מוצדק,30/07/2023,4
132, 498/23,2023-03-08 00:00:00,2023-12-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,הנחיות מנהליות וחקיקה ראשית ומשנית בצו 348,סיום טיפול,מוצדק,03/06/2024,159
133, 479/21,2021-04-02 00:00:00,2021-10-13 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,המשרד להגנת הסביבה,אירועי הזרמת חירום של שפכים לים,סיום טיפול,מוצדק,16/03/2022,154
134, 208/23,2023-03-01 00:00:00,2023-05-30 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משרד המשפטים,הפגנות ומחאות,סיום טיפול,מוצדק,12/07/2023,43
135, 450/22,2022-09-07 00:00:00,2022-11-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הפנים,אישור ונימוקים להעלאת ארנונה - שערי תקווה,סיום טיפול,בלתי מוצדק,22/12/2022,28
136, 473/21,2021-01-28 00:00:00,2021-06-10 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,נתונים בדבר תשלום ניכויים לארגוני עובדים,סיום טיפול,מוצדק,11/04/2022,188
137, 120/23,2023-07-02 00:00:00,2023-03-16 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,מידע בנושא הרפורמה בחינוך המיוחד,סיום טיפול,מוצדק,24/05/2023,69
138, 15/22,2021-04-10 00:00:00,2022-01-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פרטי שכר ראש מטה מגן ישראל,סיום טיפול,מוצדק,28/03/2022,71
139, 520/22,2022-11-30 00:00:00,2022-12-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,אי קבלת מענה מפניות הציבור,סיום טיפול,בלתי מוצדק,11/01/2023,12
140, 46/23,2022-12-26 00:00:00,2023-08-02 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החינוך,בעלי חיים במוסדות חינוך,סיום טיפול,מוצדק,02/03/2023,22
141, 446/21,2021-06-29 00:00:00,2021-09-26 00:00:00,טופס מקוון,עמותה,פרטיות ישראל,אי מתן מענה,משרד הבריאות,מאגרי מידע במשרד הבריאות,סיום טיפול,מוצדק,28/03/2022,183
142, 250/24,2023-11-19 00:00:00,2024-07-15 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,"צהל""",אישור חיילים לשימוש בזרעם,בטיפול,,,29
143, 438/21,2021-03-16 00:00:00,2021-09-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,הוראות הפרקליטות בדבר המשך חקירה,סיום טיפול,מוצדק,10/03/2022,166
144, 432/21,2021-06-24 00:00:00,2021-09-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,מידע הקיים במשרד החינוך אודות אירוע אלימות שהתרחש כלפי המתלוננת בבית ספר אלונים בקרית אתא,סיום טיפול,בלתי מוצדק,24/03/2022,183
145, 31/24,2023-12-25 00:00:00,2024-01-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד לביטחון לאומי,מינויי השר לפקידי רישוי לכלי יריה,סיום טיפול,מוצדק,04/04/2024,65
146, 184/22,2022-03-16 00:00:00,2022-04-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,מסמכים מהחלטת פקיד היערות להשגה,סיום טיפול,מוצדק חלקית,28/06/2022,63
147, 36/23,2022-03-14 00:00:00,2023-06-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,ביקורת שעות בחטיבות עליונות,סיום טיפול,מוצדק,23/02/2023,17
148, 266/23,2023-01-31 00:00:00,2023-09-07 00:00:00,טופס מקוון,עמותה,יוצאים לשינוי,אי מתן מענה,"צהל""","בוגרי החינוך החרדי בצהל""",סיום טיפול,מוצדק,21/09/2023,74
149, 127/23,2023-02-28 00:00:00,2023-03-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה,סיום טיפול,בלתי מוצדק,10/05/2023,45
150, 266/24,2024-05-16 00:00:00,2024-07-17 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,פרוטוקולים,בטיפול,,,28
151, 22/23,2022-12-12 00:00:00,2023-01-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",מסמכים אישיים,סיום טיפול,מוצדק,12/03/2023,55
152, 67/23,2022-12-18 00:00:00,2023-02-21 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""",תשלום וטיפול בבקשות פורשים לקבלת העתק מן התיק האיש,סיום טיפול,מוצדק,11/05/2023,79
153, 93/22,2021-12-15 00:00:00,2022-03-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הביטחון,תקצוב,סיום טיפול,מוצדק,24/03/2022,11
154, 183/24,2024-07-05 00:00:00,2024-05-22 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,הנהלת בתי הדין הרבניים,"מאגר שות של מבחני טוענים רבניים""",סיום טיפול,בלתי מוצדק,13/06/2024,22
155, 207/23,2022-11-12 00:00:00,2023-05-30 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משטרת ישראל,אכיפה נגד מחאות,סיום טיפול,מוצדק,25/07/2023,56
156, 132/24,2024-03-20 00:00:00,2024-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,פרסום נהלים מינהל הבטיחות והבריאות,בטיפול,,,104
157, 55/24,2023-10-20 00:00:00,2024-02-13 00:00:00,טופס מקוון,עמותה,"מרכז רקמן, אוניברסיטת בר אילן",אי מתן מענה,משרד המשפטים,מידע לשנתון סטטיסטי- סיוע משפטי,סיום טיפול,בלתי מוצדק,06/03/2024,23
158, 430/21,2021-08-08 00:00:00,2021-09-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,"הוצאות אבטחה מלון דן כרמל, לביקור נתניהו",סיום טיפול,מוצדק,16/03/2022,183
159, 276/24,2024-05-05 00:00:00,2024-07-28 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משטרת ישראל,קבלת רשימת תלונות שהוגשו,סיום טיפול,בלתי מוצדק,31/07/2024,3
160, 428/21,2021-08-20 00:00:00,2021-09-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,מידע על הכשרת מורים למקצוע,סיום טיפול,מוצדק,14/02/2022,154
161, 80/24,2023-05-11 00:00:00,2024-08-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ,סיום טיפול,בלתי מוצדק,13/03/2024,5
162, 312/23,2023-12-06 00:00:00,2023-06-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,"אי מתן מענה אורן לביא מנכל לבקשת מידע 375457 """,סיום טיפול,בלתי מוצדק,14/12/2023,130
163, 90/24,2024-12-02 00:00:00,2024-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,פעילות אוטובוס מס' רישוי 37-789-55,סיום טיפול,בלתי מוצדק,03/04/2024,21
164, 257/24,2024-02-15 00:00:00,2024-07-15 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,משרד הבריאות,נטילת זרע מנפטר - כריתת אשכים,בטיפול,,,29
165, 383/21,2021-06-21 00:00:00,2021-07-08 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד החינוך,פרטי תתומי  הורים,סיום טיפול,בלתי מוצדק,09/08/2021,2
166, 210/23,2023-03-01 00:00:00,2023-05-30 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משרד המשפטים,נהלים ומדיניות- פרקליטות המדינה,סיום טיפול,מוצדק,12/07/2023,43
167, 292/23,2023-04-05 00:00:00,2023-07-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,גיור בישראל,סיום טיפול,מוצדק,31/07/2023,5
168, 230/22,2022-05-04 00:00:00,2022-05-28 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הבינוי והשיכון,גילוי מסמכים בעניין הצמדת מדד תשומות הבניה,סיום טיפול,בלתי מוצדק,30/05/2022,2
169, 320/22,2021-09-09 00:00:00,2022-02-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,דוח ביקורת מלון פלזה - נוף הגליל,סיום טיפול,מוצדק,09/02/2023,191
170, 135/23,2022-11-12 00:00:00,2023-02-04 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""","אי-מתן מענה (מסד)""",סיום טיפול,מוצדק,28/06/2023,87
171, 638/21,2021-12-23 00:00:00,2021-12-27 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הכלכלה,מענה לחופש המידע,סיום טיפול,בלתי מוצדק,10/03/2022,73
172, 381/21,2021-02-16 00:00:00,2021-04-08 00:00:00,טופס מקוון,עמותה,מניפה מנוף לחיים,אי מתן מענה,"צהל""",נתונים בנוגע לחיילים אוכ' ייחודיות ונתוני נשר,סיום טיפול,מוצדק,14/02/2022,194
173, 277/23,2022-03-20 00:00:00,2023-07-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,אין מתן מענה,סיום טיפול,בלתי מוצדק,29/02/2024,225
174, 374/21,2021-03-18 00:00:00,2021-07-26 00:00:00,טופס מקוון,עמותה,שקוף,אי מתן מענה,משרד הבריאות,הוצאות קמפיין מגן 2,סיום טיפול,מוצדק,23/02/2022,212
175, 241/24,2024-05-30 00:00:00,2024-08-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,תלונה על קבלת מידע שלא על פי החוק,סיום טיפול,מוצדק,08/08/2024,31
176, 224/24,2024-11-02 00:00:00,2024-06-25 00:00:00,טופס מקוון,עמותה,העמותה הקהילתית גבעת מרדכי,אי מתן מענה,משרד הבריאות,חיסון הפפילומה - יעילות ותופעות,סיום טיפול,מוצדק,12/08/2024,48
177, 430/23,2023-09-15 00:00:00,2023-10-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,קבלת סיכום טיפול בפניה,סיום טיפול,בלתי מוצדק,18/12/2023,65
178, 348/21,2021-02-22 00:00:00,2021-07-15 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הפנים,דחיית בקשה לקבלת מידע,סיום טיפול,מוצדק,10/08/2021,26
179, 195/24,2023-07-12 00:00:00,2024-05-30 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,נתונים בנושא המלחמה,סיום טיפול,מוצדק,05/06/2024,6
180, 108/24,2024-02-15 00:00:00,2024-03-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,תוכנית שנתית של פקידי יערות,סיום טיפול,מוצדק,17/04/2024,13
181, 64/24,2023-11-20 00:00:00,2024-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,הפעלת תחבורה ציבורית בשעת חירום,סיום טיפול,מוצדק,15/05/2024,84
182, 488/22,2022-10-22 00:00:00,2022-12-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי המשפט,בקשת מידע צווים שיפוטים,סיום טיפול,בלתי מוצדק,22/12/2022,0
183, 95/22,2021-08-31 00:00:00,2022-03-13 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החקלאות ופיתוח הכפר,ניצול תקציבים,סיום טיפול,מוצדק,19/05/2022,67
184, 146/24,2023-10-22 00:00:00,2024-06-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,בירור בפרויקט מחיר למשתכן,סיום טיפול,מוצדק,13/06/2024,38
185, 213/24,2024-05-02 00:00:00,2024-06-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תוכנית התחבורה הציבורית מואז שדות דן,סיום טיפול,מוצדק,31/07/2024,41
186, 303/22,2022-05-29 00:00:00,2022-07-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,פרטי מפעילי קייטנות,סיום טיפול,מוצדק,28/07/2022,8
187, 248/23,2022-07-11 00:00:00,2023-06-26 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,"מתאם פעולות הממשלה בשטחים (מתפש)""","נתונים על שריפות פסולת ועל אכיפה סביבתית ביוש""",סיום טיפול,בלתי מוצדק,28/06/2023,3
188, 34/22,2021-11-15 00:00:00,2022-01-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הסברה בציבור החרדי,סיום טיפול,מוצדק,28/03/2022,59
189, 400/23,2023-10-07 00:00:00,2023-07-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,בניין ארמון הנציב,סיום טיפול,בלתי מוצדק,29/11/2023,83
190, 32/23,2022-05-12 00:00:00,2023-01-31 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,בקשה לקבלת מידע ומסמכים בעניינה של המיוצגת ,סיום טיפול,מוצדק,08/06/2023,128
191, 63/23,2023-11-01 00:00:00,2023-02-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,"השעיית תלמידי חינוך מיוחד בביס האלה במודיעין""",סיום טיפול,מוצדק,29/03/2023,38
192, 35/23,2022-06-12 00:00:00,2023-06-02 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""",נתונים אודות פיטורים בעילת צמצום כוחות סדירים,סיום טיפול,מוצדק,11/05/2023,94
193, 55/22,2022-01-31 00:00:00,2022-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,"ועדת איתור ליועמש""",סיום טיפול,מוצדק,11/09/2022,209
194, 448/22,2022-09-10 00:00:00,2022-11-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,בקשת מידע,סיום טיפול,בלתי מוצדק,22/12/2022,28
195, 496/23,2023-11-22 00:00:00,2023-12-24 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,קבלת מסמכים,סיום טיפול,מוצדק,14/02/2024,52
196, 428/23,2023-04-07 00:00:00,2023-11-10 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,אי מתן מענה לבקשת מידע סמוכין 378452   04.07.23   ,סיום טיפול,בלתי מוצדק,14/12/2023,64
197, 307/23,2023-06-25 00:00:00,2023-01-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,היתרים להעסקת עובדים זרים,סיום טיפול,מוצדק,10/08/2023,9
198, 317/23,2023-05-25 00:00:00,2023-09-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,מידע אישי,סיום טיפול,מוצדק,28/03/2024,232
199, 150/24,2024-10-01 00:00:00,2024-10-05 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,פרטים אודות מכון הדרום,סיום טיפול,מוצדק,12/08/2024,95
200, 406/23,2023-02-08 00:00:00,2023-11-09 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,מינהל התכנון,"מינוי דר אורית ניר""",סיום טיפול,בלתי מוצדק,12/09/2023,1
201, 276/22,2022-07-02 00:00:00,2022-06-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,תגובות לתלונות,סיום טיפול,מוצדק,11/09/2022,81
202, 405/23,2023-02-08 00:00:00,2023-11-09 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,מינהל התכנון,"קבלת חווד בתת""ל 108""",סיום טיפול,בלתי מוצדק,04/04/2024,206
203, 122/22,2021-09-08 00:00:00,2022-03-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פנייתי לחוק חופש המידע במשרד הבריאות 283829,סיום טיפול,מוצדק,13/04/2022,20
204, 263/23,2022-10-22 00:00:00,2023-06-07 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד העבודה,מידע על התנהלות הוועדה,סיום טיפול,בלתי מוצדק,31/08/2023,56
205, 404/22,2022-04-27 00:00:00,2022-10-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","נתונים אודות חיילים בודדים בצהל""",סיום טיפול,מוצדק,03/05/2023,199
206, 240/23,2022-08-28 00:00:00,2023-06-19 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,השלכות מקווי מתח עיליים,סיום טיפול,מוצדק,01/08/2023,40
207, 39/23,2023-06-01 00:00:00,2023-07-02 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,משרד האוצר,"פעילות משרד האוצר ביחס לפנסיה הצוברת בצהל""",סיום טיפול,בלתי מוצדק,08/06/2023,121
208, 51/24,2023-07-11 00:00:00,2024-07-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","קבלת הצו על הצבת שלט שטח צבאי סגור"" בשטח פרטי""",סיום טיפול,מוצדק,15/04/2024,68
209, 119/22,2022-06-02 00:00:00,2022-03-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,הקצאת מקרקעין,סיום טיפול,בלתי מוצדק,31/03/2022,8
210, 199/23,2023-10-02 00:00:00,2023-05-24 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,"יפוכ יועמ""ש""",סיום טיפול,מוצדק,07/06/2023,14
211, 213/23,2023-02-21 00:00:00,2023-05-31 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,נשים מאוימות בלוד,סיום טיפול,מוצדק,13/07/2023,43
212, 82/24,2023-12-18 00:00:00,2024-09-03 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,משרד החקלאות ופיתוח הכפר,דיג מכמורת לצרכי מחקר מצפון לדור,סיום טיפול,מוצדק,27/03/2024,18
213, 613/21,2021-04-11 00:00:00,2021-12-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,מניעת נישואי קרובים- בנק הזרע,סיום טיפול,מוצדק,09/02/2022,55
214, 131/24,2024-02-26 00:00:00,2024-04-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,כתבי אישום בעבירות הסתה  לפי דת,סיום טיפול,בלתי מוצדק,06/05/2024,6
215, 493/23,2023-10-13 00:00:00,2023-12-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה  סמוכין 392585 מתאריך 13.10.23 ,סיום טיפול,בלתי מוצדק,14/12/2023,1
216, 108/22,2022-05-01 00:00:00,2022-03-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,קבלת הוראת נוהל,סיום טיפול,מוצדק,11/04/2022,22
217, 99/23,2023-12-01 00:00:00,2023-02-28 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,הוראת שעה- מיצוי כושר השתכרות,סיום טיפול,מוצדק,09/03/2023,4
218, 140/24,2023-08-20 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
219, 294/22,2022-03-22 00:00:00,2022-07-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,נהלי חקירת ירי,סיום טיפול,מוצדק,28/08/2022,46
220, 200/22,2021-01-25 00:00:00,2022-09-05 00:00:00,דואר אלקטרוני,עמותה,"מען - ארגון עובדים, סניף ירושלים",חוסר בהנמקה,רשות המסים בישראל,בקשה לקבלת המקור החוקי מכוחו מנקים מס הכנסה מעובדים תושבי הרשות הפלסטינית,סיום טיפול,מוצדק,01/08/2022,84
221, 394/23,2023-03-29 00:00:00,2023-04-09 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,שירות בתי הסוהר,אסירים זרים,סיום טיפול,מוצדק,24/01/2024,143
222, 325/23,2022-04-19 00:00:00,2023-08-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,מידע דחוף,סיום טיפול,מוצדק,07/03/2024,206
223, 5/22,2021-05-27 00:00:00,2022-03-01 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,וועדת ההיגוי לטיפול במרחבים סגורים ,סיום טיפול,מוצדק,26/05/2022,143
224, 225/24,2024-03-14 00:00:00,2024-06-26 00:00:00,טופס מקוון,עמותה,המרכז להעצמת האזרח,אי מתן מענה,משרד העבודה,"יישום החלטת ממשלה 1226 - הוקרה, סיוע ותגמול לחיילי מילואים המשרתים במלחמת חרבות ברזל"" ותיקון החלטת ממשלה""",סיום טיפול,מוצדק,03/07/2024,7
225, 97/24,2023-09-19 00:00:00,2024-03-17 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,עגורנאים,סיום טיפול,מוצדק,29/05/2024,73
226, 141/23,2022-11-16 00:00:00,2023-03-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מסמכים ביחס לדיווח על אשפוזו ומותו של איתי למברסקי,סיום טיפול,מוצדק,07/09/2023,157
227, 581/21,2021-01-09 00:00:00,2021-11-18 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,מינויים כמנהל עבודה באתרים,סיום טיפול,בלתי מוצדק,24/11/2021,6
228, 574/21,2021-07-18 00:00:00,2021-06-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,11 שאלות בנושא הקורונה,סיום טיפול,מוצדק,28/03/2022,142
229, 366/23,2023-07-23 00:00:00,2023-08-24 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,פיילוט הסעות בחינוך המיוחד,סיום טיפול,בלתי מוצדק,30/08/2023,6
230, 605/21,2021-08-24 00:00:00,2021-07-12 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","דין משמעתי של חיילי צהל""",סיום טיפול,מוצדק,14/02/2022,69
231, 569/21,2021-02-08 00:00:00,2021-01-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,"הוצאות משפט""""",סיום טיפול,מוצדק,16/03/2022,135
232, 596/21,2021-02-05 00:00:00,2021-11-26 00:00:00,טופס מקוון,אחר,,אי מתן מענה,המשרד להגנת הסביבה,אכיפה ורגולציה בענפי החקלאות מהחי,סיום טיפול,מוצדק,26/05/2022,182
233, 8/23,2022-11-23 00:00:00,2023-08-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,מסדרון וצוואר בקבוק אקולוגי גדרה,סיום טיפול,בלתי מוצדק,22/05/2024,500
234, 74/23,2022-12-28 00:00:00,2023-01-03 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד הבריאות,חלופות ניסויים משרד הבריאות,סיום טיפול,מוצדק,15/06/2023,106
